period,hour,demand(MWh),air_temp,precipitable_water,humidity
2023-01-17,18,1008.701,4.8,0,65
2023-01-17,19,1022.121,5,0,61
2023-01-17,20,1009.891,4.9,0,58
2023-01-17,21,980.776,4.9,0,58
2023-01-17,22,940.554,5,0,60
2023-01-17,23,917.095,4.9,0,57
2023-01-18,0,898.247,5.1,0,58
2023-01-18,1,850.866,5.2,0,59
2023-01-18,2,811.552,5.5,0,53
2023-01-18,3,781.141,5.6,0,54
2023-01-18,4,761.494,5.5,0,58
2023-01-18,5,758.893,5.5,0,61
2023-01-18,6,775.791,5.7,0,64
2023-01-18,7,813.787,5.6,0,62
2023-01-18,8,870.264,5.7,0,61
2023-01-18,9,936.829,5.9,0,58
2023-01-18,10,933.197,6.2,0,59
2023-01-18,11,859.168,6.3,0,59
2023-01-18,12,850.792,5.9,0,58
2023-01-18,13,812.589,6.6,0,56
2023-01-18,14,760.197,6.3,0,56
2023-01-18,15,779.817,6.6,0,57
2023-01-18,16,823.47,6.5,0,64
2023-01-18,17,877.203,6.3,0,63
2023-01-18,18,963.489,6.2,0,61
2023-01-18,19,1002.149,6.9,0,54
2023-01-18,20,989.478,6.9,0,53
2023-01-18,21,953.966,6.8,0,52
2023-01-18,22,921.466,6.7,0,48
2023-01-18,23,901.154,6.4,0,51
2023-01-19,0,887.437,6.6,0,53
2023-01-19,1,827.565,6.6,0,57
2023-01-19,2,784.586,6.5,0,58
2023-01-19,3,756.718,6.4,0,57
2023-01-19,4,744.766,6.3,0,59
2023-01-19,5,745.887,6.4,0,57
2023-01-19,6,761.429,6.5,0,58
2023-01-19,7,796.481,6.3,0,54
2023-01-19,8,855.366,6.1,0,59
2023-01-19,9,918.656,6.4,0,54
2023-01-19,10,906.517,6.6,0,53
2023-01-19,11,880.995,6.9,0,53
2023-01-19,12,870.496,6.8,0,52
2023-01-19,13,819.461,7.3,0,50
2023-01-19,14,769.017,7.9,0,50
2023-01-19,15,755.263,7.8,0,51
2023-01-19,16,769.111,7.5,0,57
2023-01-19,17,807.067,7.6,0,55
2023-01-19,18,900.605,8.2,0,48
2023-01-19,19,976.985,8,0,47
2023-01-19,20,979.997,8.3,0,49
2023-01-19,21,958.694,8.2,0,49
2023-01-19,22,930.238,8.2,0,49
2023-01-19,23,915.049,8.4,0,49
2023-01-20,0,908.468,8.3,0,53
2023-01-20,1,861.165,8.5,0,52
2023-01-20,2,820.229,8.6,0,54
2023-01-20,3,789.753,9.3,0,46
2023-01-20,4,771.234,9.2,0,49
2023-01-20,5,767.297,9.6,0,49
2023-01-20,6,782.532,10.1,0,48
2023-01-20,7,800.928,8.8,0,67
2023-01-20,8,839.299,7.7,0,65
2023-01-20,9,896.746,7.5,0,59
2023-01-20,10,880.287,7.5,0,55
2023-01-20,11,792.397,7.8,0,51
2023-01-20,12,750.111,8,0,48
2023-01-20,13,708.219,8.2,0,54
2023-01-20,14,700.357,6.7,0,50
2023-01-20,15,703.273,7,0,54
2023-01-20,16,727.701,5.4,0,51
2023-01-20,17,790.777,4.7,0,56
2023-01-20,18,919.56,4,0,55
2023-01-20,19,991.625,3.5,0,55
2023-01-20,20,997.209,3.1,0,56
2023-01-20,21,984.218,2.9,0,58
2023-01-20,22,959.988,2.9,0,60
2023-01-20,23,943.511,2.6,0,60
2023-01-21,0,932.808,2.5,0,58
2023-01-21,1,896.225,2.7,0,56
2023-01-21,2,854.104,2.6,0,58
2023-01-21,3,821.687,2.6,0,59
2023-01-21,4,806.492,2.7,0,63
2023-01-21,5,806.432,2.6,0,61
2023-01-21,6,817.106,2.3,0,62
2023-01-21,7,836.806,2.5,0,61
2023-01-21,8,853.123,2.7,0,63
2023-01-21,9,845.038,2.8,0,61
2023-01-21,10,843.66,2.9,0,65
2023-01-21,11,808.58,2.9,0,62
2023-01-21,12,759.612,3.6,0,61
2023-01-21,13,694.207,4.1,0,61
2023-01-21,14,663.108,4.6,0,62
2023-01-21,15,656.721,4.5,0,59
2023-01-21,16,667.567,4.7,0,63
2023-01-21,17,740.166,4.6,0,63
2023-01-21,18,866.36,4.1,0,60
2023-01-21,19,943.868,2,0,72
2023-01-21,20,954.084,2.2,0,72
2023-01-21,21,948.919,2.6,0,66
2023-01-21,22,934.861,2.9,0,63
2023-01-21,23,924.448,2.6,0,61
2023-01-22,0,917.972,3.1,0,60
2023-01-22,1,870.32,3,0,59
2023-01-22,2,831.682,3.1,0,65
2023-01-22,3,793.354,4.6,0,59
2023-01-22,4,757.522,4.2,0,64
2023-01-22,5,734.316,4.2,0,59
2023-01-22,6,733.657,4.7,0,53
2023-01-22,7,753.004,7.1,0,57
2023-01-22,8,777.752,5.5,0,63
2023-01-22,9,777.841,6.7,0,59
2023-01-22,10,732.158,7.7,0,60
2023-01-22,11,691.035,8.9,0,46
2023-01-22,12,694.206,9.1,0,63
2023-01-22,13,671.922,8.7,0,76
2023-01-22,14,708.117,8.1,0.5,85
2023-01-22,15,748.087,8.1,0.5,86
2023-01-22,16,785.261,7.6,0.5,87
2023-01-22,17,797.847,7.2,0.5,84
2023-01-22,18,807.782,7.2,0,82
2023-01-22,19,828.583,7.3,0,83
2023-01-22,20,825.006,7.3,0,83
2023-01-22,21,815.291,7.4,0,82
2023-01-22,22,804.595,7.7,0,82
2023-01-22,23,794.785,8.2,0,82
2023-01-23,0,790.956,7.8,0,83
2023-01-23,1,751.735,7.9,0,83
2023-01-23,2,718.229,7.6,0,84
2023-01-23,3,694.917,7.9,0,80
2023-01-23,4,681.981,9.2,0,72
2023-01-23,5,692.876,8.7,0,72
2023-01-23,6,725.108,7.1,0,77
2023-01-23,7,749.407,6,0,80
2023-01-23,8,772.254,5.8,0,79
2023-01-23,9,732.307,8,0,71
2023-01-23,10,644.123,9.4,0,69
2023-01-23,11,640.039,9,0,61
2023-01-23,12,593.702,9.1,0,53
2023-01-23,13,531.514,9.3,0,51
2023-01-23,14,543.51,9.6,0,59
2023-01-23,15,598.202,9.2,0,56
2023-01-23,16,633.583,9.1,0,48
2023-01-23,17,684.109,8.5,0,57
2023-01-23,18,784.83,7.9,0,63
2023-01-23,19,847.006,7.1,0,65
2023-01-23,20,863.568,7,0,62
2023-01-23,21,856.402,6.7,0,66
2023-01-23,22,844.997,6.3,0,68
2023-01-23,23,843.344,5.9,0,68
2023-01-24,0,839.114,5.1,0,70
2023-01-24,1,803.599,4.4,0,68
2023-01-24,2,777.581,3.4,0,68
2023-01-24,3,765.202,2.7,0,66
2023-01-24,4,766.596,1.8,0,70
2023-01-24,5,779.395,1.7,0,71
2023-01-24,6,798.15,-0.1,0,83
2023-01-24,7,831.272,-0.2,0,67
2023-01-24,8,867.445,-1.3,0,71
2023-01-24,9,903.178,-1.7,0,70
2023-01-24,10,924.435,-2.5,0,79
2023-01-24,11,930.035,-1.8,0,75
2023-01-24,12,898.286,-1.7,0,60
2023-01-24,13,866.605,-2.2,0,78
2023-01-24,14,902.723,-1.2,0,55
2023-01-24,15,878.727,-1.8,0,67
2023-01-24,16,928.483,-1.7,0,71
2023-01-24,17,976.536,-1,0,66
2023-01-24,18,1005.287,-2.3,0,82
2023-01-24,19,1026.892,-1.6,0,66
2023-01-24,20,1012.918,-2,0,70
2023-01-24,21,989.909,-1.1,0,73
2023-01-24,22,960.697,-1,0,72
2023-01-24,23,940.223,-2.7,0,84
2023-01-25,0,935.734,-2.1,0,73
2023-01-25,1,895.566,-1.6,0,71
2023-01-25,2,861.867,-1.8,0,74
2023-01-25,3,839.563,-2,0,80
2023-01-25,4,827.17,-1.8,0,83
2023-01-25,5,830.217,-2,0,80
2023-01-25,6,846.133,-2.2,0,75
2023-01-25,7,880.815,-2.3,0,77
2023-01-25,8,928.196,-2.5,0,72
2023-01-25,9,991.499,-1.8,0,75
2023-01-25,10,1004.12,-2.3,0,79
2023-01-25,11,919.085,-1.1,0,64
2023-01-25,12,807.55,-0.8,0,61
2023-01-25,13,736.686,-0.6,0,64
2023-01-25,14,734.806,-0.2,0,64
2023-01-25,15,760.497,0.2,0,64
2023-01-25,16,824.22,0.5,0,65
2023-01-25,17,912.167,0.3,0,62
2023-01-25,18,1012.737,0.3,0,65
2023-01-25,19,1043.586,0,0,67
2023-01-25,20,1047.731,-0.7,0,70
2023-01-25,21,1037.084,-0.1,0,64
2023-01-25,22,991.173,0.5,0,64
2023-01-25,23,952.11,0.5,0,70
2023-01-26,0,929.868,0.6,0,73
2023-01-26,1,874.05,1.7,0,71
2023-01-26,2,833.392,1.7,0,72
2023-01-26,3,803.271,2.6,0,72
2023-01-26,4,787.232,3.5,0,70
2023-01-26,5,788.255,3.3,0,79
2023-01-26,6,796.468,4,0.5,71
2023-01-26,7,825.64,4.1,0,69
2023-01-26,8,875.439,4.2,0,66
2023-01-26,9,934.923,6.3,0,59
2023-01-26,10,930.829,6.8,0,50
2023-01-26,11,887.838,7.1,0,52
2023-01-26,12,816.927,7.7,0,50
2023-01-26,13,745.118,8.3,0,46
2023-01-26,14,758.202,8,0,44
2023-01-26,15,769.47,8.1,0,48
2023-01-26,16,798.127,7.9,0,46
2023-01-26,17,837.732,7.7,0,51
2023-01-26,18,912.927,7.5,0,54
2023-01-26,19,972.626,7.8,0,51
2023-01-26,20,972.803,7.5,0,62
2023-01-26,21,949.974,7.5,0,60
2023-01-26,22,920.9,7.4,0,63
2023-01-26,23,897.555,7.3,0,68
2023-01-27,0,873.361,5.9,0,82
2023-01-27,1,826.861,6.2,0,79
2023-01-27,2,787.65,6.2,0,72
2023-01-27,3,761.916,5.7,0,70
2023-01-27,4,752.714,5.4,0,63
2023-01-27,5,757.42,5.3,0,65
2023-01-27,6,786.051,4.3,0,70
2023-01-27,7,822.378,4.3,0,77
2023-01-27,8,881.074,2.6,0,85
2023-01-27,9,972.93,3,0,76
2023-01-27,10,973.414,2.4,0,88
2023-01-27,11,1028.44,2.7,0.5,83
2023-01-27,12,1031.638,3,1,82
2023-01-27,13,1000.219,2.8,0,56
2023-01-27,14,965.922,1,0.5,88
2023-01-27,15,957.389,0.9,0,86
2023-01-27,16,995.082,1.7,0.5,76
2023-01-27,17,1055.149,1.9,0,77
2023-01-27,18,1076.543,2.3,0,67
2023-01-27,19,1065.674,2.9,0,60
2023-01-27,20,1044.836,1.3,0,85
2023-01-27,21,1014.838,1.9,0,72
2023-01-27,22,979.988,1.8,0,66
2023-01-27,23,958.873,2.1,0,68
2023-01-28,0,938.073,1.5,0,76
2023-01-28,1,897.799,1.7,0,67
2023-01-28,2,860.417,1.7,0,70
2023-01-28,3,835.135,1,0,81
2023-01-28,4,821.683,1.8,0,67
2023-01-28,5,820.899,2.2,0,65
2023-01-28,6,830.564,1.8,0,68
2023-01-28,7,852.315,1.7,0,77
2023-01-28,8,881.386,0.7,0,81
2023-01-28,9,923.898,0.8,0.5,86
2023-01-28,10,946.305,0.3,0.5,89
2023-01-28,11,918.928,0.1,0,81
